,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.000000,5.941924,6.770538,8.968984,5.455221,6.016500,6.790845,6.771209,8.223859,8.257648,7.399783,8.142329,6.030988,8.027153,5.675988,5.579895,7.860924,7.075829,9.401995,7.842897,5.771157,5.941389,4.949893,5.442207
1,5.941924,0.000000,0.089560,1.966772,0.311967,1.450240,0.667432,0.643275,0.713112,2.402940,2.844173,1.146688,2.309531,3.441280,2.663323,3.606052,4.862180,3.320472,3.941709,4.355826,4.099775,5.053242,4.603968,3.983739
2,6.770538,0.089560,0.000000,1.000921,0.185652,1.759337,2.232297,1.975767,2.390514,2.267658,2.067595,1.246983,1.791603,2.913761,2.221888,2.629098,3.023110,2.699297,3.195339,3.574972,3.611681,4.172320,3.787450,3.944889
3,8.968984,1.966772,1.000921,0.000000,0.381831,0.293601,0.587595,0.727559,0.694771,1.284849,0.792276,0.326602,0.374154,1.829713,0.996897,1.608730,2.457843,2.770481,2.004985,3.165162,3.177124,4.719245,4.196046,3.862768
4,5.455221,0.311967,0.185652,0.381831,0.000000,0.034553,0.097980,0.328620,0.269331,0.209030,0.185816,0.191173,0.162179,0.752316,0.323827,0.370891,0.916280,0.946302,1.000279,1.092064,1.901987,2.740294,4.170515,5.755664
5,6.016500,1.450240,1.759337,0.293601,0.034553,0.000000,0.096147,0.212830,0.177980,0.148898,0.158083,0.242894,0.145172,1.114322,0.125513,0.247514,0.922121,0.726087,0.317641,0.838774,0.961497,1.933162,4.396374,4.778972
6,6.790845,0.667432,2.232297,0.587595,0.097980,0.096147,0.000000,0.059217,0.054272,0.123960,0.088056,0.121549,0.131621,0.268507,0.144562,0.216020,0.309317,0.386259,0.275252,0.379020,1.033913,1.772961,2.905119,4.382559
7,6.771209,0.643275,1.975767,0.727559,0.328620,0.212830,0.059217,0.000000,0.077458,0.089470,0.069378,0.086422,0.136577,0.107281,0.141602,0.152864,0.181542,0.166073,0.174561,0.174444,0.467553,1.035338,2.107874,4.726871
8,8.223859,0.713112,2.390514,0.694771,0.269331,0.177980,0.054272,0.077458,0.000000,0.094529,0.078119,0.073808,0.084820,0.088907,0.090913,0.102179,0.108695,0.106072,0.105914,0.150389,0.231263,0.991277,2.102993,4.548340
9,8.257648,2.402940,2.267658,1.284849,0.209030,0.148898,0.123960,0.089470,0.094529,0.000000,0.059241,0.078549,0.077557,0.084441,0.085453,0.093006,0.104524,0.101447,0.146279,0.131154,0.163163,0.647934,1.595695,4.453041
10,7.399783,2.844173,2.067595,0.792276,0.185816,0.158083,0.088056,0.069378,0.078119,0.059241,0.000000,0.048794,0.046494,0.056869,0.062685,0.070913,0.079495,0.079628,0.074022,0.104337,0.124823,0.457177,1.155535,4.294771
11,8.142329,1.146688,1.246983,0.326602,0.191173,0.242894,0.121549,0.086422,0.073808,0.078549,0.048794,0.000000,0.052062,0.059950,0.049386,0.058206,0.067346,0.073093,0.085926,0.107199,0.149069,0.397307,0.918041,4.099338
