rank,layer_a,layer_b,gap,mean_kl,max_kl,median_kl,p95_kl
1,4,5,1,0.034553,0.201884,0.016587,0.148671
2,14,15,1,0.036762,0.161895,0.027258,0.105749
3,16,17,1,0.038569,0.204907,0.028620,0.130057
4,15,16,1,0.038684,0.175762,0.025849,0.101866
5,12,14,2,0.039380,0.245491,0.025896,0.104006
6,13,16,3,0.039709,0.189853,0.029412,0.140473
7,13,15,2,0.040498,0.153912,0.027245,0.144067
8,14,17,3,0.044536,0.344068,0.022499,0.123340
9,20,21,1,0.044946,0.190353,0.020743,0.159104
10,15,17,2,0.045469,0.346566,0.026489,0.106794
11,21,22,1,0.045595,0.208533,0.023957,0.183421
12,14,16,2,0.046123,0.379122,0.023706,0.136554
13,10,12,2,0.046494,0.196772,0.031933,0.190350
14,13,17,4,0.046819,0.307394,0.027941,0.150514
15,10,11,1,0.048794,0.261882,0.026743,0.259573
16,11,14,3,0.049386,0.196219,0.030511,0.111449
17,17,18,1,0.051471,0.325386,0.025229,0.184968
18,11,12,1,0.052062,0.248470,0.043743,0.199293
19,13,14,1,0.052098,0.269789,0.023346,0.203777
20,12,13,1,0.052233,0.277855,0.031127,0.166758
21,14,18,4,0.053608,0.345485,0.030639,0.164855
22,6,8,2,0.054272,0.271459,0.018669,0.220946
23,15,18,3,0.054402,0.354412,0.031417,0.148067
24,12,15,3,0.054971,0.284371,0.038605,0.237581
25,10,13,3,0.056869,0.339352,0.028969,0.248061
26,19,21,2,0.057594,0.351414,0.031868,0.212105
27,16,19,3,0.057786,0.404848,0.027544,0.188219
28,11,15,4,0.058206,0.223017,0.042892,0.137634
29,6,7,1,0.059217,0.439584,0.016337,0.379734
30,9,10,1,0.059241,0.284519,0.025383,0.231853
31,11,13,2,0.059950,0.404674,0.027801,0.257378
32,17,19,2,0.060451,0.315345,0.029504,0.254386
33,12,17,5,0.062474,0.289953,0.038771,0.241666
34,10,14,4,0.062685,0.342999,0.046545,0.247236
35,16,18,2,0.063421,0.508852,0.028786,0.331189
36,12,16,4,0.063458,0.413127,0.032170,0.183128
37,18,19,1,0.063889,0.422644,0.024241,0.214064
38,13,18,5,0.065162,0.545611,0.036637,0.261835
39,15,19,4,0.065589,0.372478,0.038359,0.225553
40,19,20,1,0.066667,0.407363,0.025343,0.262566
41,11,16,5,0.067346,0.304402,0.048906,0.163803
42,14,19,5,0.069095,0.314385,0.052373,0.191000
43,7,10,3,0.069378,0.418403,0.030757,0.265792
44,10,15,5,0.070913,0.248574,0.050753,0.243656
45,11,17,6,0.073093,0.265924,0.053627,0.200179
46,8,11,3,0.073808,0.373940,0.037376,0.235188
47,10,18,8,0.074022,0.409403,0.042929,0.322569
48,13,19,6,0.074661,0.505470,0.037559,0.281653
49,7,8,1,0.077458,0.794462,0.024115,0.267161
50,9,12,3,0.077557,0.465386,0.032943,0.249545
51,8,10,2,0.078119,0.707433,0.023394,0.239464
52,9,11,2,0.078549,0.318067,0.045001,0.316684
53,10,16,6,0.079495,0.399156,0.048032,0.292486
54,10,17,7,0.079628,0.432726,0.042779,0.281216
55,20,22,2,0.080644,0.413885,0.034421,0.317121
56,9,13,4,0.084441,0.520234,0.035026,0.398179
57,8,12,4,0.084820,0.423963,0.048222,0.276625
58,9,14,5,0.085453,0.384839,0.040931,0.351332
59,11,18,7,0.085926,0.481719,0.053474,0.246556
60,7,11,4,0.086422,0.462244,0.045178,0.401159
61,17,20,3,0.087716,0.552954,0.037402,0.434626
62,6,10,4,0.088056,0.609121,0.032991,0.346945
63,8,13,5,0.088907,0.478768,0.041603,0.345180
64,12,19,7,0.089307,0.324856,0.060881,0.314977
65,7,9,2,0.089470,0.870189,0.027569,0.511503
66,1,2,1,0.089560,0.992145,0.047837,0.216234
67,18,20,2,0.090600,0.656807,0.037404,0.348077
68,8,14,6,0.090913,0.385407,0.056307,0.296302
69,12,18,6,0.092748,0.505678,0.051251,0.298123
70,9,15,6,0.093006,0.446512,0.052977,0.275923
71,8,9,1,0.094529,0.629942,0.027254,0.446525
72,5,6,1,0.096147,1.127033,0.017802,0.369634
73,4,6,2,0.097980,1.104510,0.029164,0.310604
74,16,20,4,0.100172,0.698376,0.035654,0.517553
75,9,17,8,0.101447,0.431288,0.055573,0.298218
76,8,15,7,0.102179,0.409289,0.062583,0.276052
77,10,19,9,0.104337,0.600827,0.058106,0.415490
78,9,16,7,0.104524,0.450909,0.053395,0.404076
79,8,18,10,0.105914,0.351663,0.076502,0.330411
80,8,17,9,0.106072,0.345120,0.081176,0.320955
81,11,19,8,0.107199,0.626609,0.073208,0.404773
82,7,13,6,0.107281,0.549361,0.061323,0.331875
83,8,16,8,0.108695,0.387494,0.073537,0.379592
84,14,20,6,0.112326,0.567752,0.063809,0.469462
85,13,20,7,0.114116,0.683465,0.076965,0.266660
86,18,21,3,0.114915,0.812874,0.049621,0.438112
87,6,11,5,0.121549,1.229253,0.059712,0.413392
88,15,20,5,0.121939,0.706179,0.061605,0.665930
89,6,9,3,0.123960,1.800955,0.044156,0.238686
90,10,20,10,0.124823,0.517260,0.096194,0.268095
91,5,14,9,0.125513,0.483304,0.074351,0.463888
92,17,21,4,0.126797,0.812680,0.058734,0.620377
93,9,19,10,0.131154,0.621137,0.082473,0.384790
94,6,12,6,0.131621,1.017477,0.058008,0.760587
95,19,22,3,0.132495,0.576257,0.056665,0.502647
96,22,23,1,0.132514,0.570633,0.082059,0.513047
97,7,12,5,0.136577,0.981982,0.054443,0.912650
98,7,14,7,0.141602,0.627760,0.078910,0.514199
99,6,14,8,0.144562,0.606629,0.074169,0.535818
100,5,12,7,0.145172,1.373260,0.085332,0.499624
101,9,18,9,0.146279,0.717902,0.064964,0.672548
102,5,9,4,0.148898,0.769581,0.056562,0.580346
103,11,20,9,0.149069,0.539144,0.121193,0.276899
104,8,19,11,0.150389,0.695670,0.099080,0.554314
105,12,20,8,0.151485,0.636060,0.109271,0.428541
106,7,15,8,0.152864,0.443626,0.097922,0.400825
107,16,21,5,0.156409,1.003512,0.064441,0.785103
108,5,10,5,0.158083,1.093466,0.070572,0.702562
109,4,12,8,0.162179,1.450983,0.087259,0.888080
110,9,20,11,0.163163,0.739777,0.132079,0.374234
111,7,17,10,0.166073,1.058551,0.098823,0.641882
112,7,19,12,0.174444,0.976331,0.095130,0.708550
113,7,18,11,0.174561,0.886916,0.096426,0.663859
114,5,8,3,0.177980,1.933666,0.032325,0.619369
115,7,16,9,0.181542,1.343706,0.085978,0.665446
116,2,4,2,0.185652,1.024150,0.070535,0.609224
117,15,21,6,0.185798,1.162972,0.096584,0.686912
118,4,10,6,0.185816,1.652463,0.062428,0.890786
119,4,11,7,0.191173,1.443697,0.098069,0.473938
120,4,9,5,0.209030,1.976757,0.062441,0.726343
121,21,23,2,0.210597,1.087929,0.144525,0.688786
122,5,7,2,0.212830,3.250765,0.021783,0.461674
123,6,15,9,0.216020,2.847035,0.078294,0.705696
124,18,22,4,0.217742,1.240525,0.086046,0.874424
125,8,20,12,0.231263,0.841674,0.177100,0.814575
126,14,21,7,0.234208,1.065945,0.154083,0.713847
127,5,11,6,0.242894,2.241512,0.107687,1.139936
128,17,22,5,0.244492,1.390000,0.128421,0.810724
129,5,15,10,0.247514,2.006174,0.076405,1.176595
130,13,21,8,0.257368,0.987487,0.202386,0.767298
131,6,13,7,0.268507,2.845336,0.058181,1.226811
132,4,8,4,0.269331,3.561434,0.030379,0.874046
133,6,18,12,0.275252,2.625933,0.086045,0.812390
134,20,23,3,0.277540,1.146525,0.188974,0.886785
135,3,5,2,0.293601,0.887680,0.353898,0.532584
136,6,16,10,0.309317,2.681763,0.080374,1.454344
137,1,4,3,0.311967,2.150109,0.125665,1.578042
138,5,18,13,0.317641,1.952090,0.119640,1.904046
139,4,14,10,0.323827,1.867491,0.112037,1.415195
140,3,11,8,0.326602,1.085866,0.157678,0.959806
141,16,22,6,0.326645,1.712026,0.164797,1.202794
142,4,7,3,0.328620,4.217162,0.030331,1.061950
143,12,21,9,0.344047,1.522033,0.252408,0.853509
144,4,15,11,0.370891,2.493760,0.146588,1.685842
145,3,12,9,0.374154,2.000310,0.237157,1.221715
146,6,19,13,0.379020,3.189260,0.146509,1.905940
147,3,4,1,0.381831,1.077073,0.409656,0.828138
148,6,17,11,0.386259,4.509532,0.120042,0.850640
149,15,22,7,0.388576,2.017159,0.222291,1.523681
150,11,21,10,0.397307,1.396935,0.339593,1.094980
151,10,21,11,0.457177,1.423576,0.349029,1.150105
152,7,20,13,0.467553,5.314584,0.111480,1.197339
153,14,22,8,0.496832,2.438281,0.346561,1.278210
154,19,23,4,0.509409,2.062462,0.288046,1.670956
155,3,6,3,0.587595,7.284867,0.150988,1.504054
