rank,layer_a,layer_b,gap,mean_kl,max_kl,median_kl,p95_kl
1,4,5,1,0.03595561523529775,0.2520958983883996,0.024259491615377923,0.11110275892288823
2,6,7,1,0.036407359481905294,0.318124958437023,0.025846550080025746,0.10002349214598
3,5,6,1,0.03783401385645872,0.5619890478941241,0.027726677487693807,0.10285099884650527
4,6,8,2,0.038879565317610845,0.2634535589613712,0.029245874963485602,0.09885062983089878
5,5,7,2,0.039015867385640876,0.21415509291658533,0.02864770655778043,0.11013493100357163
6,7,8,1,0.03979610054674185,0.2623243876567032,0.028961966720141362,0.1065214958035135
7,4,6,2,0.04186430204204179,0.9996362084259949,0.025055795248277377,0.11096032913262124
8,5,8,3,0.04201594917778435,0.2653488210156413,0.033413931188861996,0.13000463853768598
9,9,11,2,0.04324081614107499,0.2149570526719832,0.03610243239545354,0.13740564468675143
10,4,7,3,0.043277757710427175,0.40915539777876975,0.031234782865386515,0.12658233337193908
11,6,9,3,0.04332482331352247,0.23771793241343175,0.03130474452821958,0.13787509875790468
12,7,9,2,0.04342123312813517,0.3234330175513911,0.03300877131482849,0.12374058946362754
13,9,10,1,0.04466567033950949,0.25595721673667715,0.037178074362085534,0.15475631732347225
14,3,4,1,0.0477611081909724,0.734153212532105,0.030221216159777353,0.1684443202645178
15,8,9,1,0.048375255763465116,1.222779895351562,0.03202270644371717,0.13216849128066668
16,10,12,2,0.048576443528417244,0.29203476127019556,0.03960141318511434,0.11648215939236606
17,8,10,2,0.04867627560515996,0.27193733716453217,0.03886484919301152,0.15097649890927498
18,11,12,1,0.049952384917447815,0.29764019904814265,0.03963705488987425,0.1320599351617108
19,10,11,1,0.05076584254928321,0.37641423869925683,0.04193065861821005,0.11176489804756051
20,1,2,1,0.052082216415980584,0.44248170749341004,0.03568201840357134,0.14384522079493514
21,11,13,2,0.05209425523035738,0.4534279127367406,0.041916294227262216,0.11552620560413847
22,3,5,2,0.05222860172385463,0.5402048421964701,0.032704788221128225,0.17135885077039703
23,12,13,1,0.05244915112422324,0.3064619978504543,0.042944788703547176,0.13484683491172547
24,12,14,2,0.05262332285045908,0.26722681726770087,0.04475003734593066,0.11824410189455982
25,9,12,3,0.0531460317634023,0.27974964895066823,0.04292204624476216,0.14016913208386583
26,5,9,4,0.053773713782187274,0.259169370880583,0.04096160422730713,0.13244560707252437
27,7,10,3,0.05466959566671061,0.6061196582807052,0.04075525143542139,0.17175098917246248
28,4,8,4,0.05469217034489983,0.38532381947992567,0.03659423331114835,0.18398074658413965
29,8,11,3,0.05644860277784859,0.329478537262956,0.044970431411093414,0.15662686999551217
30,3,6,3,0.05694128137407252,0.5061974745844903,0.03308521068312581,0.18160176137149958
31,13,14,1,0.05900038248370569,0.23781324075736887,0.0477911239983803,0.13568270443610947
32,6,10,4,0.059191224933876935,0.3659135682778077,0.04517530018823135,0.18077788601824812
33,7,11,4,0.05960271809420903,0.3307635846218023,0.047380476083859216,0.16578415194924923
34,10,13,3,0.05983771347353129,0.44122528363919056,0.0527540241858216,0.12247156673929567
35,2,4,2,0.061079439900825955,0.5262054416613738,0.04185038904302912,0.2150670660248037
36,14,15,1,0.06214516795758841,0.2541851098204891,0.05345509494235669,0.1414418770914955
37,11,14,3,0.06222835964654573,0.34367071956892836,0.05000437787488683,0.17234547614540258
38,4,9,5,0.06254577144176278,0.738298357692601,0.04164343964724079,0.21129676939362704
39,16,17,1,0.06387876082736559,0.40119580857425213,0.05643150203356061,0.13743247349479648
40,6,11,5,0.06390858257592592,0.403504419276392,0.04863575069865239,0.19679147674832
41,2,3,1,0.06430841697372723,1.416257110618245,0.029643446926359358,0.29644880658230255
42,15,16,1,0.06446018212783107,0.31683175035805333,0.05476884234651443,0.15643573455558027
43,15,17,2,0.06588472496732022,0.30116257816600667,0.05767701547864458,0.13763709623137854
44,12,15,3,0.06689092780716666,0.37470963934312185,0.0551890435818224,0.18956661397890687
45,13,15,2,0.0672222407062478,0.289779959678783,0.05675096597761731,0.1896161338108413
46,16,18,2,0.0673091553530403,0.4057843610913513,0.05457022191071031,0.18228263491826116
47,20,21,1,0.06759581722294128,0.7469393712527759,0.050556215927748074,0.1732654263664734
48,14,16,2,0.06760163151426439,0.44895191399424256,0.05018542043330408,0.20758923175213034
49,10,14,4,0.06868873180809879,0.37520424693497606,0.05649364114876933,0.17986344964248802
50,17,18,1,0.06876022492144922,0.6880012363258452,0.055612880161319975,0.16469478390163728
51,8,12,4,0.0690675429337653,0.33948098009447214,0.05245670825791016,0.17959340967756124
52,9,13,4,0.06947403037803512,0.3823440624406468,0.05857977744679185,0.24378478875695944
53,15,18,3,0.07046902291705008,0.3216089398276679,0.06100339424329464,0.1648353395257449
